Date,Open,High,Low,Close,Volume
7/7/2017,241.210007,242.279999,240.559998,242.110001,57972300
7/10/2017,242.110001,242.800003,241.759995,242.369995,36663300
7/11/2017,242.369995,242.550003,240.850006,242.190002,50354600
7/12/2017,243.300003,244.199997,243.300003,244.009995,59610400
7/13/2017,244.020004,244.550003,243.759995,244.419998,39471600
7/14/2017,244.419998,245.970001,244.309998,245.559998,60262700
7/17/2017,245.470001,245.910004,245.330002,245.529999,33531900
7/18/2017,245.059998,245.720001,244.669998,245.660004,42742500
7/19/2017,246.020004,247,246.009995,246.990005,51034300
7/20/2017,247.279999,247.419998,246.470001,247.100006,47135200
7/21/2017,246.440002,246.910004,246.179993,246.880005,82340800
7/24/2017,246.789993,246.979996,246.279999,246.820007,46622300
7/25/2017,247.679993,247.800003,247.160004,247.419998,54915600
7/26/2017,247.75,247.789993,247.130005,247.429993,47575400
7/27/2017,247.960007,248,245.679993,247.199997,70766600
7/28/2017,246.649994,247.059998,246.130005,246.910004,50088400
7/31/2017,247.369995,247.479996,246.529999,246.770004,65838700
8/1/2017,247.460007,247.5,246.720001,247.320007,55050400
8/2/2017,247.470001,247.600006,246.369995,247.440002,47211200
8/3/2017,247.309998,247.339996,246.639999,246.960007,40856000
8/4/2017,247.520004,247.789993,246.970001,247.410004,60191800
8/7/2017,247.490005,247.869995,247.369995,247.869995,31995000
8/8/2017,247.509995,248.910004,246.830002,247.259995,61719400
8/9/2017,246.470001,247.309998,246.059998,247.25,62632600
8/10/2017,246.289993,246.440002,243.699997,243.759995,120479500
8/11/2017,244.020004,244.800003,243.75,244.119995,74869900
8/14/2017,245.589996,246.789993,245.550003,246.539993,73291900
8/15/2017,246.979996,247,246.160004,246.509995,55242700
8/16/2017,247.110001,247.570007,246.449997,246.940002,56715500
8/17/2017,246.240005,246.600006,243.089996,243.089996,128490400
8/18/2017,242.899994,244.190002,242.199997,242.710007,136748000
8/21/2017,242.639999,243.199997,241.830002,242.899994,65469700
8/22/2017,243.570007,245.619995,243.550003,245.440002,63140100
8/23/2017,244.330002,245.050003,244.160004,244.559998,50203800
8/24/2017,245,245.179993,243.75,243.990005,50741700
8/25/2017,244.899994,245.610001,244.389999,244.559998,64445900
8/28/2017,245.169998,245.199997,244.089996,244.570007,40565600
8/29/2017,243.059998,245.149994,242.929993,244.850006,51135700
8/30/2017,244.830002,246.320007,244.619995,246.009995,62030800
8/31/2017,246.720001,247.770004,246.050003,247.490005,103803900
9/1/2017,247.919998,248.330002,247.669998,247.839996,62007000
9/5/2017,247.259995,247.520004,244.949997,246.059998,91398800
9/6/2017,246.839996,247.279999,246.229996,246.899994,57916900
9/7/2017,247.25,247.270004,246.399994,246.869995,58034700
9/8/2017,246.539993,247.110001,246.300003,246.580002,63832800
9/11/2017,248.039993,249.300003,248.020004,249.210007,71364800
9/12/2017,249.630005,250.089996,249.419998,250.050003,56896000
9/13/2017,249.720001,250.210007,249.589996,250.169998,59228000
9/14/2017,249.800003,250.320007,249.600006,250.089996,95446300
9/15/2017,248.690002,249.289993,248.570007,249.190002,95432400
9/18/2017,249.610001,250.119995,249.279999,249.720001,46235200
9/19/2017,250,250.070007,249.600006,249.970001,47108100
